Commodity,BS_Month,Month_Name,Unit,Monthly_Min,Monthly_Max,Monthly_Avg,Daily_Records
French Bean(Rajma),1,Baisakh,kg,60.0,120.0,85.44,19
French Bean(Rajma),2,Jestha,kg,80.0,120.0,103.2,29
French Bean(Rajma),3,Asar,kg,60.0,120.0,93.47,25
French Bean(Rajma),4,Shrawan,kg,70.0,130.0,101.51,21
French Bean(Rajma),5,Bhadra,kg,110.0,150.0,126.33,10
Garlic Dry Chinese,1,Baisakh,kg,170.0,260.0,207.04,31
Garlic Dry Chinese,2,Jestha,kg,220.0,260.0,243.15,32
Garlic Dry Chinese,3,Asar,kg,200.0,260.0,234.37,31
Garlic Dry Chinese,4,Shrawan,kg,250.0,280.0,270.05,32
Garlic Dry Chinese,5,Bhadra,kg,220.0,270.0,240.68,31
Garlic Dry Chinese,6,Ashwin,kg,220.0,240.0,227.15,11
Garlic Dry Nepali,1,Baisakh,kg,80.0,150.0,106.04,29
Garlic Dry Nepali,2,Jestha,kg,120.0,220.0,169.45,32
Garlic Dry Nepali,3,Asar,kg,140.0,210.0,182.9,31
Garlic Dry Nepali,4,Shrawan,kg,170.0,250.0,224.69,32
Garlic Dry Nepali,5,Bhadra,kg,200.0,280.0,253.23,31
Garlic Dry Nepali,6,Ashwin,kg,250.0,270.0,257.12,11
Garlic Green,1,Baisakh,kg,50.0,150.0,76.96,31
Garlic Green,2,Jestha,kg,50.0,120.0,82.35,32
Garlic Green,3,Asar,kg,50.0,130.0,89.25,31
Garlic Green,4,Shrawan,kg,70.0,300.0,103.96,32
Garlic Green,5,Bhadra,kg,150.0,350.0,256.4,31
Garlic Green,6,Ashwin,kg,200.0,350.0,277.73,11
Ginger,1,Baisakh,kg,110.0,280.0,170.55,31
Ginger,2,Jestha,kg,220.0,320.0,262.9,32
Ginger,3,Asar,kg,240.0,320.0,298.37,31
Ginger,4,Shrawan,kg,250.0,280.0,265.65,32
Ginger,5,Bhadra,kg,140.0,300.0,213.2,31
Ginger,6,Ashwin,kg,150.0,180.0,169.55,11
Grapes(Black),1,Baisakh,kg,180.0,350.0,244.17,28
Grapes(Black),2,Jestha,kg,220.0,380.0,324.58,12
Grapes(Black),3,Asar,kg,520.0,600.0,568.0,20
Grapes(Black),4,Shrawan,kg,400.0,600.0,509.66,29
Grapes(Black),5,Bhadra,kg,400.0,500.0,466.38,29
Grapes(Black),6,Ashwin,kg,400.0,550.0,456.67,9
Grapes(Green),1,Baisakh,kg,110.0,180.0,137.69,31
Grapes(Green),2,Jestha,kg,150.0,280.0,225.98,29
Grapes(Green),3,Asar,kg,350.0,500.0,408.46,13
Grapes(Green),4,Shrawan,kg,450.0,550.0,482.22,9
Grapes(Green),6,Ashwin,kg,550.0,600.0,575.0,1
Green Peas,1,Baisakh,kg,50.0,180.0,89.41,31
Green Peas,2,Jestha,kg,120.0,200.0,171.41,32
Green Peas,3,Asar,kg,140.0,200.0,177.14,7
Guava,4,Shrawan,kg,280.0,350.0,308.33,3
Guava,5,Bhadra,kg,100.0,320.0,127.28,27
Guava,6,Ashwin,kg,100.0,150.0,125.91,11
Gundruk,1,Baisakh,kg,250.0,300.0,275.28,30
Gundruk,2,Jestha,kg,250.0,300.0,276.82,32
Gundruk,3,Asar,kg,250.0,300.0,275.81,31
Gundruk,4,Shrawan,kg,250.0,300.0,275.0,7
Gundruk,5,Bhadra,kg,250.0,300.0,277.61,23
Gundruk,6,Ashwin,kg,250.0,300.0,276.36,11
Jack Fruit,1,Baisakh,kg,50.0,90.0,66.91,31
Jack Fruit,2,Jestha,kg,30.0,70.0,43.75,32
Jack Fruit,3,Asar,kg,20.0,80.0,39.57,31
Jack Fruit,4,Shrawan,kg,30.0,60.0,41.68,32
Jack Fruit,5,Bhadra,kg,40.0,100.0,64.17,24
Jack Fruit,6,Ashwin,kg,70.0,90.0,77.5,4
Kinnow,1,Baisakh,kg,120.0,500.0,160.26,26
Kiwi,1,Baisakh,kg,400.0,600.0,459.68,31
Kiwi,2,Jestha,kg,400.0,700.0,476.04,32
Kiwi,3,Asar,kg,500.0,900.0,783.33,27
Kiwi,4,Shrawan,kg,700.0,900.0,798.12,31
Kiwi,5,Bhadra,kg,350.0,800.0,633.33,27
Kiwi,6,Ashwin,kg,400.0,450.0,423.64,11
Knolkhol,1,Baisakh,kg,40.0,80.0,59.84,31
Knolkhol,2,Jestha,kg,70.0,90.0,79.39,30
Knolkhol,3,Asar,kg,80.0,90.0,86.67,1
Lemon,5,Bhadra,kg,40.0,70.0,61.67,28
Lemon,6,Ashwin,kg,50.0,70.0,58.03,11
Lettuce,1,Baisakh,kg,40.0,150.0,75.54,31
Lettuce,2,Jestha,kg,50.0,150.0,79.91,32
Lettuce,3,Asar,kg,40.0,70.0,56.67,31
Lettuce,4,Shrawan,kg,60.0,350.0,161.35,32
Lettuce,5,Bhadra,kg,100.0,500.0,300.75,31
Lettuce,6,Ashwin,kg,90.0,120.0,101.21,11
Lime,1,Baisakh,kg,180.0,280.0,229.69,31
Lime,2,Jestha,kg,150.0,220.0,176.29,32
Lime,3,Asar,kg,120.0,180.0,157.4,31
Lime,4,Shrawan,kg,110.0,250.0,142.62,32
Lime,5,Bhadra,kg,120.0,250.0,176.03,31
Lime,6,Ashwin,kg,180.0,300.0,240.27,11
Litchi(Indian),2,Jestha,kg,200.0,300.0,256.92,20
Litchi(Indian),3,Asar,kg,220.0,300.0,258.1,7
Litchi(Local),2,Jestha,kg,100.0,250.0,162.88,22
Litchi(Local),3,Asar,kg,80.0,180.0,131.01,28
Mandarin,1,Baisakh,kg,200.0,280.0,229.11,31
